country,continent,mean_temp,mean_precip,mean_pm25,n
Jordan,Asia,21.469620253164557,0.014822784810126584,21.488455697409716,790
Kazakhstan,Asia,9.6787072243346,0.059657794676806084,11.655716095599233,789
Kenya,Africa,21.1635101010101,0.09946969696969697,20.123522727152313,792
Kiribati,Oceania,28.052538071065992,0.10851522842639595,9.225450507674726,788
Kuwait,Asia,31.10747782002535,0.008795944233206591,91.56030418057556,789
Kyrghyzstan,Other,17.71875792141952,0.09839036755386564,19.285614702879855,789
Latvia,Europe,10.059010152284264,0.08336294416243654,12.94600253843414,788
Lebanon,Asia,23.104309252218,0.05711026615969582,28.435975918884665,789
Lesotho,Africa,18.180837563451778,0.06748730964467005,21.915989843842944,788
Liberia,Africa,25.796070975918884,0.3582002534854246,17.89868821298819,789
Liechtenstein,Europe,10.202281368821293,0.1820278833967047,7.485418251192312,789
Lithuania,Europe,9.756527249683142,0.1147148288973384,11.26337135632833,789
Luxembourg,Europe,11.073951715374841,0.08597204574332909,13.823691233013303,787
Macedonia,Other,16.730994897959185,0.05396683673469388,23.18945790791998,784
Madagascar,Africa,25.18133012820513,0.05879807692307692,6.626373397512314,1248
Malawi,Africa,23.435569620253162,0.10037974683544304,9.874018987341772,790
Malaysia,Asia,30.666032953105198,0.5841951837769328,57.10197718727876,789
Maldives,Asia,27.949809402795427,0.21640406607369758,12.4917094786255,787
Mali,Africa,26.521799746514578,0.07448669201520913,28.440544994629835,789
Malta,Europe,21.852085967130215,0.0475094816687737,15.117869786287832,791
Marshall Islands,Oceania,28.302025316455694,0.3468860759493671,5.871926582640636,790
Mauritania,Africa,23.342458808618506,0.0063371356147021544,67.15897338983224,789
Mauritius,Africa,26.626489226869452,0.08339670468948035,8.167477819541864,789
Mexico,North America,14.784096692111959,0.06169211195928753,44.40477099430773,786
Micronesia,Oceania,28.29148665819568,0.36481575603557814,5.93744726813703,787
Monaco,Europe,18.095419847328245,0.09256997455470739,9.176781171696787,786
Mongolia,Asia,4.900380228136882,0.03860583016476553,21.351768060957372,789
Montenegro,Europe,18.866116751269036,0.17833756345177665,14.514175127145604,788
Morocco,Africa,18.42246192893401,0.050571065989847716,14.560209390862944,788
Mozambique,Africa,24.99354430379747,0.055493670886075944,11.166056962025316,790
Myanmar,Asia,30.844430379746832,0.4163164556962025,27.031506328631053,790
Namibia,Africa,20.636329113924052,0.024341772151898734,6.320474683544304,790
Nepal,Asia,23.272496831432193,0.4527249683143219,44.49663498195556,789
Netherlands,Europe,12.55873417721519,0.09277215189873418,16.623481013020385,790
New Zealand,Oceania,13.939290240811154,0.17101394169835235,6.494493029271696,789
Nicaragua,North America,24.563010204081635,0.11082908163265306,8.49780612244898,784
Niger,Africa,28.968860759493673,0.027518987341772154,28.850132909460914,790
Nigeria,Africa,26.864556962025315,0.11711392405063291,48.57210759445384,790
North Korea,Asia,14.941497461928934,0.095,33.83678934203792,788
Norway,Europe,8.26828963795256,0.09843945068664169,9.696086142292332,801
Oman,Asia,31.89113924050633,0.003949367088607595,35.980732914289646,790
Pakistan,Asia,28.788324873096446,0.0840736040609137,49.86049492385787,788
Palau,Oceania,28.460406091370558,0.4114593908629442,5.445347715736041,788
Panama,North America,25.56353240152478,0.17772554002541296,7.712121982453285,787
Papua New Guinea,Oceania,26.912531645569622,0.4564303797468354,8.20200000072431,790
Paraguay,South America,20.8489226869455,0.09466413181242078,11.6207926999468,789
Peru,South America,18.11324840764331,0.004331210191082803,21.940738852531286,785
Philippines,Asia,30.517617237008874,0.33131812420785806,27.222617236041902,789
Poland,Europe,11.846902654867256,0.053350189633375476,23.959450062969992,791
Portugal,Europe,16.935234474017744,0.09755386565272496,16.0578010139417,789
Qatar,Asia,32.56535532994924,0.0009010152284263959,56.600558369825336,788
Romania,Europe,15.742766497461927,0.04848984771573604,24.83493020292466,788
Russia,Europe,9.099052132701422,0.08122037914691943,39.79638625592417,844
Rwanda,Africa,23.310759493670886,0.17192405063291138,27.105664556962022,790
Saint Kitts and Nevis,North America,26.614340101522842,0.13045685279187816,9.063437817742981,788
Saint Lucia,North America,27.03574144486692,0.14306717363751584,11.532726235257961,789
Saint Vincent and the Grenadines,North America,27.23138500635324,0.13501905972045744,11.256272680648552,787
Samoa,Oceania,26.060841836734696,0.3035331632653061,5.691941326773896,784
San Marino,Europe,17.00012706480305,0.1140279542566709,15.19321080027269,787
Saudi Arabia,Asia,30.835107731305452,0.0024334600760456274,135.34054498979498,789
Senegal,Africa,24.42901678657074,0.03749400479616307,34.08757194519043,834
Serbia,Europe,15.496329113924052,0.09450632911392405,24.520917722001858,790
Seychelles Islands,Other,28.826810673443457,0.1202287166454892,8.563653113087675,787
Sierra Leone,Africa,25.852986022871665,0.5009275730622618,23.252687420705676,787
Singapore,Asia,30.003037974683547,0.3691772151898734,20.784677215914183,790
Slovakia,Europe,13.61987341772152,0.06641772151898734,16.95887341766116,790
Slovenia,Europe,13.180886075949367,0.1851012658227848,22.552810126099406,790
Solomon Islands,Oceania,27.49506329113924,0.4220253164556962,2.999473418083674,790
Somalia,Africa,28.73477157360406,0.03185279187817259,11.491027918781727,788
South Africa,Africa,19.74025316455696,0.05862025316455696,38.21706329500223,790
South Korea,Asia,17.23510773130545,0.09961977186311786,45.44188213048628,789
Spain,Europe,15.903291139240507,0.04748101265822784,15.13470253104198,790
Sri Lanka,Asia,30.248481012658228,0.44805063291139235,24.830569620736036,790
Sudan,Africa,29.953460317460316,0.014926984126984125,44.44473015873016,1575
Suriname,South America,24.337738246505715,0.18632782719186788,8.848767471228651,787
Swaziland,Africa,21.35436241610738,0.055073825503355704,18.32967113991552,745
Sweden,Europe,10.054119138149556,0.06363751584283904,6.6622877064403925,789
Switzerland,Europe,10.567857142857143,0.14666666666666667,11.75362023775464,840
Syria,Asia,21.4723700887199,0.022534854245880864,23.02232572732014,789
Tajikistan,Asia,22.90279187817259,0.06436548223350254,17.76752538071066,788
Tanzania,Africa,24.731305449936627,0.07221799746514576,8.988846641499432,789
Thailand,Asia,31.247084917617236,0.2167807351077313,27.289194550123806,1578
Timor-Leste,Asia,26.466793893129772,0.37755725190839695,7.355591603538766,786
Tonga,Oceania,23.90482233502538,0.18689086294416246,8.31263959390863,788
Trinidad and Tobago,North America,25.144472681067345,0.19843710292249045,9.692428208507456,787
Tunisia,Africa,21.707106598984772,0.022309644670050758,17.47511421319797,788
Turkey,Asia,16.785587301587302,0.0638984126984127,23.42585079352969,1575
